                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.74962,                0.86297,                0.44585,                0.86518,                0.92823,                0.91012,                0.97469,                 0.8138,                0.92746,                0.88942,                0.96005,                0.61727,                0.63065,                0.78205,                0.38644,                0.83787,               0.001189,               0.001189,               0.001189
                     91,                 0.7606,                0.94977,                0.44871,                0.87108,                0.93046,                0.90894,                0.97505,                0.81494,                0.92714,                 0.8905,                0.96021,                0.61749,                0.62851,                0.78168,                0.38461,                0.83725,                0.00109,                0.00109,                0.00109
                     92,                0.74246,                 0.9239,                0.43698,                0.86605,                0.93256,                0.90814,                0.97525,                0.81597,                0.92861,                0.89036,                0.96024,                0.61767,                 0.6268,                0.78141,                0.38317,                0.83674,               0.000991,               0.000991,               0.000991
                     93,                0.73017,                0.90666,                0.42721,                0.86241,                 0.9334,                0.90868,                0.97554,                0.81725,                0.92999,                 0.8904,                0.96073,                0.61897,                0.62411,                0.77848,                0.38107,                0.83609,               0.000892,               0.000892,               0.000892
                     94,                0.71843,                0.88915,                0.41927,                0.85959,                0.93417,                0.91029,                0.97602,                 0.8191,                0.93031,                0.89267,                0.96128,                0.62036,                0.62098,                0.77407,                0.37846,                0.83533,               0.000793,               0.000793,               0.000793
                     95,                0.70885,                 0.8743,                0.41252,                0.85645,                0.93432,                0.91197,                0.97641,                0.82055,                0.93144,                  0.894,                0.96202,                0.62208,                0.61815,                0.76935,                 0.3759,                0.83458,               0.000694,               0.000694,               0.000694
                     96,                 0.6981,                0.86028,                0.40641,                0.85334,                0.93515,                0.91315,                0.97682,                0.82207,                0.93193,                0.89542,                0.96242,                 0.6231,                0.61557,                0.76518,                0.37342,                0.83393,               0.000595,               0.000595,               0.000595
                     97,                0.68998,                0.84895,                0.39953,                0.85196,                 0.9363,                0.91357,                0.97723,                0.82352,                 0.9325,                0.89707,                0.96321,                0.62431,                0.61297,                0.76034,                0.37116,                0.83325,               0.000496,               0.000496,               0.000496
                     98,                0.68047,                0.84108,                0.39408,                0.84983,                0.93676,                0.91528,                0.97767,                0.82514,                0.93292,                0.89969,                0.96375,                0.62596,                0.61023,                0.75521,                0.36854,                0.83254,               0.000397,               0.000397,               0.000397
                     99,                0.67169,                0.82642,                0.38536,                0.84718,                0.93752,                0.91627,                0.97805,                0.82677,                0.93585,                0.89966,                0.96434,                0.62725,                0.60795,                0.75034,                0.36609,                0.83192,               0.000298,               0.000298,               0.000298
                    100,                0.66476,                0.81877,                0.38166,                0.84663,                0.93938,                0.91622,                0.97842,                0.82824,                0.93493,                0.90238,                0.96502,                0.62872,                0.60547,                0.74503,                0.36367,                 0.8313,               0.000199,               0.000199,               0.000199
